Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,No Headline,Extremely Negative,200,['cheesy'],[],[]
2,Go Big With Banh Mi in Ho Chi Minh City,Extremely Positive,990,"['rough', 'lackluster', 'smear', 'tangle', 'overwhelming', 'snobs', 'scoff', 'resistance', 'cold', 'overwhelmed', 'fried', 'inevitably', 'fried', 'cold', 'inevitably', 'stall', 'fried', 'fried', 'indulge', 'impossibly', 'uncompromisingly', 'twist', 'fatty', 'utterly', 'Lonely']","['Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho']","[Andrea, Nguyen, Nguyen, Peter, Cuong, Franklin, Cuong, Franklin, Andy, Ricker, Cuong, Franklin, Nguyen, Nguyen, Nguyen, Cuong, Franklin, Bnh, M, Cho, Tng, Concealed, Nhau, Nhau, Cuong, Franklin, Cuong, Franklin, Qun, Bnh, M, Quay, Phc, Hi, Austin, Bush]"
3,No Headline,Extremely Negative,870,"['Disavow', 'violent', 'Fears', 'Hard', 'damage', 'worst', 'protest', 'terrorism', 'breaking', 'broke', 'lost', 'Fail', 'Hang', 'losing', 'retreated', 'overturn', 'condemned', 'protests', 'pain', 'Rampage', 'Hang', 'criticized', 'repudiate', 'concerns', 'inappropriate', 'broke', 'Aggressive', 'Isolation', 'Upheaval', 'Losing']","['violence', 'fraud', 'violence', 'violence', 'violence', 'conservative', 'Death']","[Bolsonaros, Jair, Bolsonaro, 'lawsuit', Brady, Bob, Kraft, Bolsonaro, Bolsonaro, Flavio, Dino, Dino, Bolsonaro, Donald, Trump, Luiz, Inacio, Lula, da, Silva, Brazils, Lula, Bolsonaros, Hugo, de, Carvalho, Ribeiro, Fabiano, Zettel, Luciano, Hang, Bolsonaro, Lula, Bolsonaro, Bolsonaro, Rampage, Zettel, Bolsonaros, Hang, Ribeiro, Maggi, Bolsonaros, Ribeiro, Bolsonaros, Bruna, Lessa, Rachel, Gamarski]"
