Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,No Headline,Extremely Negative,310,"['slug', 'slug', 'slug', 'Invalid', 'slug', 'Invalid', 'stale', 'slug', 'slug', 'slug', 'slug', 'slug']",[],[]
2,"

                            Save 97% off the 2023 Solidity & Flutter Developer Bundle
                            
",Extremely Negative,210,"['Scratch', 'limited']",[],"[Rahul, Agarwal, Rahul, Agarwal]"
3,Upload Files from Google Drive to Google Cloud Storage with Google Apps Script,Extremely Positive,0,[],[],"[Amit, Agarwal, Amit, Agarwal, Amit]"
